fold,baseline_mae,gb_mae,baseline_rmse,gb_rmse,MAE_improvement_%,RMSE_improvement_%
1,883.579761904762,710.2296527219964,1185.374288639106,899.1484693769339,19.61906741832441,24.146450788196162
2,689.4809523809524,600.6912621236634,972.676142084791,824.3741091589216,12.87775825433259,15.24680482118184
3,874.8773809523809,649.1860922636307,1151.1440774911093,841.7149500118823,25.796905212369918,26.880138944346598
4,937.2607142857142,704.7404463740193,1221.7513474516818,928.3683390109499,24.80849398333083,24.013315725222455
